org_id,ORDER,order_type,MAX_STATUS,MIN_STATUS,SHIPMENT,created_timestamp,Org Id,Job Queue Status,Request Status,Req Prog Status,Request Id,Request Progress Id,Job Id,Job Queue Created By,Job Queue Created On,Job Queue Last Updated By,Job Queue Last Updated On,Request Created By,Request Created On,Request Last Updated By,Request Last Updated On,Details Created By,Details Created On,Details Last Updated By,Details Last Updated On
ATL,4351918,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:26.800000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351914,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:27.040000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351938,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:27.162000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351890,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:27.223000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351935,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:27.270000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351936,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:27.359000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351929,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:27.412000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351943,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:27.465000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351850,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:27.521000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351966,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:27.568000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
